;AmpDrag;PicoDrag;Voltaje;Velocidad;Re;Drag;St;CD;Espesor;Largo;Lift;CL;St Lift;St Drag;AmpLift;PicoLift;Espesores;Inercia;Masa x unidad de area;Young;Frecuencia Propia 1;Frecuencia Propia 2;Frecuencia Propia 3;Frecuencia Propia 4;Frecuencia Adimensional 1;Frecuencia Adimensional 2;Frecuencia Adimensional 3;Frecuencia Adimensional 4;Relacion de aspecto;Ca
13;0,28;15,89;46,0;4,09;13516,0;14,51;0,19;0,81;30,0;0,0375;20,34;1,14;0,19;0,19;2,11;15,72;3e-05;7,875e-16;0,0152775;2950000000,0;31,224644455122426;86,07193489824063;168,73540591654682;278,9281206863329;1,9863005378576606;5,4753139248244675;10,733804447617482;17,743519127629316;1250,0;455,66858353510884
14;0,31;16,51;48,0;4,27;14121,0;15,92;0,19;0,82;30,0;0,0375;21,47;1,1;0,19;0,19;2,04;16,5;3e-05;7,875e-16;0,0152775;2950000000,0;31,224644455122426;86,07193489824063;168,73540591654682;278,9281206863329;1,892402694249844;5,216480902923674;10,226388237366475;16,904734587050477;1250,0;496,6588983050846
15;0,33;17,22;50,0;4,46;14726,0;19,01;0,19;0,9;30,0;0,0375;23,86;1,13;0,19;0,19;2,73;17,11;3e-05;7,875e-16;0,0152775;2950000000,0;31,224644455122426;86,07193489824063;168,73540591654682;278,9281206863329;1,8249353860387159;5,0305046696809255;9,861800462685379;16,302052640931205;1250,0;541,8414043583534
1;0,56;7,66;22,0;1,89;6257,0;3,5;0,2;0,92;30,0;0,05;3,79;0,99;0,2;0,2;1,67;7,63;3e-05;7,875e-16;0,0152775;2950000000,0;17,563862506006362;48,41546338026035;94,91366582805759;156,89706788606225;2,3019479038016204;6,345408044595065;12,439536805774258;20,56318058795049;1666,6666666666667;230,6440677966102
2;0,53;8,28;24,0;2,08;6862,0;4,47;0,2;0,97;30,0;0,05;4,33;0,94;0,2;0,2;1,38;8,32;3e-05;7,875e-16;0,0152775;2950000000,0;17,563862506006362;48,41546338026035;94,91366582805759;156,89706788606225;2,1110411665873032;5,819166271665907;11,407892527410768;18,85782065938248;1666,6666666666667;279,3478611783698
3;0,63;9,03;26,0;2,26;7467,0;5,28;0,2;0,97;30,0;0,05;5,45;1,0;0,2;0,2;1,36;9,06;3e-05;7,875e-16;0,0152775;2950000000,0;17,563862506006362;48,41546338026035;94,91366582805759;156,89706788606225;1,9386161706408787;5,343870130271561;10,476122056076996;17,317557161817025;1666,6666666666667;329,7885391444714
4;0,41;9,67;28,0;2,44;8072,0;6,38;0,2;1,0;30,0;0,05;6,07;0,95;0,2;0,2;1,18;9,71;3e-05;7,875e-16;0,0152775;2950000000,0;17,563862506006362;48,41546338026035;94,91366582805759;156,89706788606225;1,808842688569141;4,986144529377996;9,774836851499236;16,158297413600643;1666,6666666666667;384,41323648103315
5;0,5;10,37;30,0;2,63;8677,0;6,74;0,2;0,92;30,0;0,05;6,76;0,92;0,36;0,2;0,93;18,83;3e-05;7,875e-16;0,0152775;2950000000,0;17,563862506006362;48,41546338026035;94,91366582805759;156,89706788606225;0,9327595595329986;2,5711876463229077;5,0405558060572275;8,332292505898154;1666,6666666666667;446,61178369652947
6;0,35;11,09;32,0;2,81;9281,0;8,28;0,2;0,98;30,0;0,05;8,2;0,97;0,2;0,2;1,32;11,13;3e-05;7,875e-16;0,0152775;2950000000,0;17,563862506006362;48,41546338026035;94,91366582805759;156,89706788606225;1,5780649151847583;4,349996709816742;8,527732778801221;14,096771598028951;1666,6666666666667;509,8369652945926
7;0,48;11,73;34,0;2,99;9886,0;9,41;0,2;0,98;30,0;0,05;9,49;0,99;0,2;0,2;1,22;11,82;3e-05;7,875e-16;0,0152775;2950000000,0;17,563862506006362;48,41546338026035;94,91366582805759;156,89706788606225;1,4859443744506229;4,096062891730994;8,029920966840743;13,273863611341984;1666,6666666666667;577,2461662631156
