91,613.59,0
5923,83.33,609.71,0
5935,83.33,730.60,0
5946,90.91,708.41,0
5957,90.91,567.93,0
5968,90.91,456.48,0
5980,83.33,475.41,0
5992,83.33,608.77,0
6003,90.91,731.39,0
6014,90.91,711.65,0
6026,83.33,568.79,0
6037,90.91,458.70,0
6048,90.91,479.00,0
6061,76.92,607.70,0
6072,90.91,725.70,0
6083,90.91,707.68,0
6094,90.91,570.39,0
6106,83.33,459.38,0
6118,90.91,477.30,0
6129,83.33,609.08,0
6140,90.91,728.30,0
6152,83.33,711.56,0
6163,90.91,573.93,0
6174,90.91,459.19,0
6187,76.92,475.87,0
6198,90.91,608.83,0
6209,90.91,731.16,0
6220,90.91,710.69,0
6232,83.33,574.39,0
6243,90.91,462.77,0
6255,83.33,472.71,0
6266,90.91,601.33,0
6278,83.33,727.66,0
6289,90.91,716.17,0
6300,90.91,578.48,0
6311,90.91,460.88,0
6324,76.92,472.78,0
6335,90.91,599.01,0
6346,90.91,725.09,0
6358,83.33,716.35,0
6369,90.91,575.54,0
6380,90.91,457.74,0
6392,83.33,472.94,0
6404,83.33,600.21,0
6415,90.91,723.57,0
6426,90.91,714.73,0
6437,90.91,579.10,0
6450,83.33,460.52,0
6461,83.33,468.24,0
6472,90.91,599.73,0
6483,90.91,726.05,0
6495,83.33,718.20,0
6506,90.91,583.27,0
6518,90.91,462.00,0
6530,76.92,469.54,0
6541,90.91,599.58,0
6552,90.91,728.36,0
6563,90.91,716.35,0
6575,83.33,580.27,0
6587,83.33,458.92,0
6598,90.91,468.14,0
6609,90.91,599.17,0
6621,83.33,724.49,0
6632,90.91,717.63,0
6643,90.91,581.66,0
6656,76.92,461.64,0
6667,90.91,467.56,0
6678,90.91,593.16,0
6689,90.91,727.55,0
6701,83.33,720.69,0
6712,90.91,583.31,0
6724,83.33,461.61,0
6735,90.91,466.41,0
6747,83.33,596.66,0
6758,90.91,725.30,0
6769,90.91,722.97,0
6780,90.91,586.60,0
6793,76.92,458.08,0
6804,90.91,464.32,0
6815,90.91,593.70,0
6827,83.33,722.94,0
6838,90.91,723.55,0
6850,90.91,588.45,0
6861,83.33,462.56,0
6873,83.33,464.03,0
6884,90.91,590.72,0
6895,90.91,726.85,0
6906,90.91,726.73,0
6919,76.92,591.18,0
6930,90.91,464.62,0
6941,90.91,462.75,0
6952,90.91,589.98,0
6964,83.33,725.70,0
6975,90.91,725.05,0
6987,83.33,590.21,0
6999,83.33,466.38,0
7010,90.91,466.22,0
7021,90.91,586.08,0
7032,90.91,720.60,0
7044,83.33,725.24,0
7056,83.33,591.28,0
7067,90.91,462.01,0
7078,90.91,463.73,0
7090,83.33,585.48,0
7101,90.91,721.94,0
7112,90.91,730.71,0
7124,83.33,591.48,0
7136,83.33,462.03,0
7147,90.91,462.28,0
7158,90.91,587.33,0
7170,83.33,719.79,0
7181,90.91,727.28,0
7193,83.33,595.36,0
7204,90.91,464.38,0
7216,83.33,457.80,0
7227,90.91,585.93,0
7238,90.91,723.62,0
7250,90.91,729.74,0
7262,76.92,598.21,0
7273,90.91,463.99,0
7284,90.91,454.40,0
7296,83.33,583.99,0
7307,90.91,723.71,0
7319,83.33,729.15,0
7330,90.91,596.22,0
7342,83.33,467.09,0
7353,90.91,461.59,0
7364,90.91,580.97,0
7375,90.91,718.72,0
7388,76.92,731.28,0
7399,90.91,597.21,0
7410,90.91,467.56,0
7421,90.91,461.93,0
7433,83.33,581.09,0
7444,90.91,717.57,0
7456,83.33,730.65,0
7468,83.33,598.70,0
7479,90.91,465.36,0
7490,90.91,459.95,0
7501,90.91,580.48,0
7513,83.33,714.68,0
7525,83.33,728.54,0
7536,90.91,600.50,0
7547,90.91,470.54,0
7559,83.33,457.83,0
7570,90.91,578.78,0
7581,90.91,716.76,0
7593,83.33,729.78,0
7605,83.33,601.51,0
7616,90.91,471.50,0
7627,90.91,456.82,0
7639,83.33,575.04,0
7651,90.91,714.18,0
7662,83.33,731.88,0
7673,90.91,604.89,0
7685,83.33,469.33,0
7696,90.91,459.10,0
7707,90.91,573.72,0
7719,90.91,712.49,0
7731,76.92,732.89,0
7742,90.91,608.47,0
7753,90.91,473.69,0
7764,90.91,455.93,0
7776,83.33,572.37,0
7788,83.33,710.53,0
7799,90.91,732.54,0
7811,83.33,610.47,0
7822,90.91,472.18,0
7833,90.91,454.13,0
7844,90.91,569.94,0
7857,76.92,711.07,0
7868,90.91,732.68,0
7879,90.91,611.33,0
7890,90.91,477.95,0
7902,83.33,458.64,0
7913,90.91,569.21,0
7925,83.33,706.56,0
7937,83.33,733.81,0
7948,90.91,614.98,0
7959,90.91,479.42,0
7970,90.91,456.35,0
7982,83.33,565.70,0
7994,83.33,703.90,0
8005,90.91,733.68,0
8016,90.91,618.70,0
8028,83.33,478.21,0
8039,90.91,451.35,0
8051,90.91,559.65,0
8062,83.33,703.52,0
8074,83.33,733.59,0
8085,90.91,619.95,0
8096,90.91,482.47,0
8108,83.33,453.68,0
8120,90.91,557.73,0
8131,90.91,703.41,0
8142,90.91,738.03,0
8154,83.33,619.89,0
8165,90.91,478.60,0
8176,90.91,451.02,0
8188,83.33,557.61,0
8200,83.33,698.98,0
8211,90.91,738.43,0
8222,90.91,622.93,0
8233,90.91,480.36,0
8245,83.33,446.40,0
8257,83.33,552.64,0
8268,90.91,698.60,0
8280,83.33,740.28,0
8291,90.91,630.83,0
8302,90.91,487.58,0
8313,90.91,448.65,0
8326,76.92,551.77,0
8337,90.91,696.46,0
8348,90.91,735.32,0
8359,90.91,630.84,0
8371,83.33,490.17,0
8382,90.91,448.50,0
8394,83.33,546.62,0
8406,83.33,693.26,0
8417,90.91,740.40,0
8428,90.91,634.16,0
8439,90.91,490.79,0
8452,83.33,450.04,0
8463,83.33,544.44,0
8474,90.91,690.88,0
8485,90.91,738.05,0
8497,83.33,634.03,0
8508,90.91,489.71,0
8520,83.33,452.13,0
8531,90.91,547.18,0
8543,83.33,691.57,0
8554,90.91,744.38,0
8565,90.91,637.62,0
8577,83.33,494.05,0
8589,83.33,451.83,0
8600,90.91,545.24,0
8611,90.91,691.26,0
8623,83.33,741.83,0
8634,90.91,643.73,0
8645,90.91,497.08,0
8657,83.33,451.04,0
8669,83.33,543.18,0
8680,90.91,686.35,0
8691,90.91,741.72,0
8702,90.91,644.82,0
8714,83.33,498.19,0
8726,83.33,451.00,0
8737,90.91,544.16,0
8749,83.33,687.21,0
