,-204.96,0
6474,83.33,-206.86,0
6486,83.33,-206.85,0
6497,90.91,-206.13,0
6508,90.91,-205.15,0
6519,90.91,-204.44,0
6531,83.33,-204.15,0
6543,83.33,-203.82,0
6554,90.91,-203.41,0
6565,90.91,-204.20,0
6577,83.33,-205.21,0
6588,90.91,-205.40,0
6599,90.91,-205.90,0
6611,83.33,-206.09,0
6623,83.33,-206.61,0
6634,90.91,-206.51,0
6645,90.91,-205.88,0
6657,83.33,-204.89,0
6669,83.33,-204.22,0
6680,90.91,-204.00,0
6691,90.91,-203.48,0
6703,83.33,-203.63,0
6714,90.91,-204.39,0
6725,90.91,-204.84,0
6737,83.33,-205.38,0
6749,83.33,-206.46,0
6760,90.91,-207.01,0
6771,90.91,-206.44,0
6782,90.91,-205.76,0
6794,83.33,-204.75,0
6806,83.33,-204.09,0
6817,90.91,-204.10,0
6829,83.33,-204.15,0
6840,90.91,-204.25,0
6851,90.91,-203.92,0
6863,90.91,-204.40,0
6875,76.92,-205.21,0
6886,90.91,-205.47,0
6897,90.91,-205.80,0
6908,90.91,-205.97,0
6920,83.33,-205.43,0
6932,83.33,-205.71,0
6943,90.91,-204.92,0
6955,83.33,-204.29,0
6966,90.91,-204.20,0
6977,90.91,-203.73,0
6988,90.91,-204.27,0
7001,76.92,-205.40,0
7012,90.91,-205.71,0
7023,90.91,-205.68,0
7034,90.91,-206.00,0
7046,83.33,-205.17,0
7057,90.91,-205.57,0
7069,83.33,-205.52,0
7080,90.91,-205.03,0
7092,83.33,-204.46,0
7103,90.91,-204.26,0
7114,90.91,-204.04,0
7127,83.33,-204.31,0
7138,90.91,-204.60,0
7149,90.91,-205.24,0
7160,90.91,-205.57,0
7172,83.33,-205.72,0
7183,90.91,-205.69,0
7195,83.33,-205.37,0
7206,90.91,-205.36,0
7218,83.33,-204.78,0
7229,90.91,-204.96,0
7240,90.91,-205.15,0
7251,90.91,-205.29,0
7264,76.92,-204.61,0
7275,90.91,-204.66,0
